author,detail_url,isbn,pages,price,pub_date,publisher,quote,rating,rating_num,series,title
钱穆,https://book.douban.com/subject/1003479/,9787108015280, 161,12.00元,2001,生活·读书·新知三联书店,一部简明的“中国政治制度史”,9.2,82399人,,中国历代政治得失
鲁迅,https://book.douban.com/subject/1915958/,10019-1981, 62,0.20元,1973-3,人民文学出版社,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。,9.5,55102人,,野草
当年明月,https://book.douban.com/subject/3674537/,9787801656087,,358.20元,2009-4,中国海关出版社,不拘一格的历史书写,9.2,200083人,,明朝那些事儿（1-9）
[美] 哈珀·李 / 高红梅,https://book.douban.com/subject/6781808/,9787544722766, 346,32.00元,2012-9,译林出版社,有一种东西不能遵循从众原则，那就是——人的良心,9.2,161359人,,杀死一只知更鸟
陀思妥耶夫斯基 (Ф.М.Достоевский) / 荣如德,https://book.douban.com/subject/25887924/,9787532763696, 985,CNY 78.00,2015-2-1,上海译文出版社,None,9.6,50529人,,卡拉马佐夫兄弟
[意] 埃莱娜·费兰特 / 陈英,https://book.douban.com/subject/26986954/,9787020125265, 492,59.00元,2017-4,人民文学出版社,探索青年时代的激情、困惑、挣扎、背叛和失去,9.2,110377人,,新名字的故事
金庸,https://book.douban.com/subject/1255625/,9787108006721, 1978,96.00元,1994-5,生活·读书·新知三联书店,有情皆孽，无人不冤,9.2,140165人,,天龙八部
[意] 埃莱娜·费兰特 / 陈英,https://book.douban.com/subject/30172069/,9787020139927, 480,62.00元,2018-7,人民文学出版社,我的整个生命，只是一场为了提升社会地位的低俗斗争。,9.2,99096人,,失踪的孩子
三毛,https://book.douban.com/subject/1060068/,9787806398791, 217,15.80元,2003-8,哈尔滨出版社,游荡的自由灵魂,9.2,196218人,,撒哈拉的故事
（丹麦）安徒生 / 叶君健,https://book.douban.com/subject/1046209/,9787020017713, 550,25.00元,1997-08,人民文学出版社,为了争取未来的一代,9.3,143217人,,安徒生童话故事集
鲁迅,https://book.douban.com/subject/1449351/,10019-1979, 160,0.36元,1973-3,人民文学出版社,新文学的第一声呐喊,9.2,176148人,,呐喊
【美】傅高义 (Ezra.F.Vogel) / 冯克利,https://book.douban.com/subject/20424526/,9787108041531, 754,88.00元,2013-1-18,生活·读书·新知三联书店,个人命运背后的历史变局,9.4,85523人,,邓小平时代
[法国] 安东尼·德·圣-埃克苏佩里 / 马振骋,https://book.douban.com/subject/1084336/,9787020042494, 97,22.00元,2003-8,人民文学出版社,献给长成了大人的孩子们,9.1,794652人,,小王子
[日] 东野圭吾 / 刘姿君,https://book.douban.com/subject/10554308/,9787544258609, 538,39.50元,2013-1-1,南海出版公司,一宗离奇命案牵出跨度近20年步步惊心的故事,9.2,525744人,,白夜行
[英国] 阿瑟·柯南·道尔,https://book.douban.com/subject/1040211/,9787501408580, 531；706；583,53.00元/68.00元,1981-8,群众出版社,名侦探的代名词,9.3,144676人,,福尔摩斯探案全集（上中下）
[明] 罗贯中,https://book.douban.com/subject/1019568/,9787020008728, 990,39.50元,1998-05,人民文学出版社,是非成败转头空,9.3,181851人,,三国演义（全二册）
范景中 / 杨成凯,https://book.douban.com/subject/3162991/,9787807463726, 688,280.00,2008-04,广西美术出版社,从最早的洞窟绘画到当今的实验艺术,9.5,29069人,,艺术的故事
[哥伦比亚] 加西亚·马尔克斯 / 杨玲,https://book.douban.com/subject/10594787/,9787544258975, 401,39.50元,2012-9-1,南海出版公司,义无反顾地直达爱情的核心,9.0,308667人,,霍乱时期的爱情
